Site,Feature,n,RCYBP,Error,MedCal,TimeID,BRMIndex,SurfaceArea,RockNumber,RockWeight,CompID,PhaseID,SurfaceClust,AgeID,PhaseTime
41KM16,Feature 10,1,110,86,139,5,0,0.785,NA,NA,Component III,Recession,1,Z,200
41HY202-A,Feature 27,1,150,70,151,5,0,0.6789,NA,NA,Component III,Recession,1,Z,200
41MS32,Feature 3,1,180,60,170,5,0,3.52,170,NA,Component III,Recession,1,Z,200
41WM1010,"Feature A2, TU 3",1,166.5,0.8,191,5,0,0.99,46,9,Component III,Recession,1,Z,200
41KM16,Feature 16,2,234.5,65,239,5,0,1.76625,NA,NA,Component III,Recession,1,Z,200
41KM16,Feature 15,2,257.95,73,300,4,0.13,0.2826,NA,NA,Component III,Recession,1,H,500
41CV0587,Feature 2,1,260,70,304,4,0.13,1,NA,NA,Component III,Recession,1,H,500
41KM69,Feature 2,3,260,40,308,4,0.13,1.5386,122,23.18,Component III,Recession,1,H,500
41LM50,Feature 2,2,265,55,317,4,0.13,0.9,NA,NA,Component III,Recession,1,H,500
41HY209-T,Feature 19,1,270,70,321,4,0.13,0.4,NA,NA,Component III,Recession,1,H,500
41MS32,Feature 5,1,270,60,326,4,0.13,0.52,60,NA,Component III,Recession,1,H,500
41KM226,Feature 8,1,300,40,384,4,0.13,0.595,125,23,Component III,Recession,1,H,500
41LM50,Feature 1,2,350,30,392,4,0.13,1,NA,NA,Component III,Recession,1,H,500
41MS32,Feature 22,1,350,60,398,4,0.13,2.88,200,NA,Component III,Recession,1,H,500
41ED28,Feature 21,3,353.3333333,40,398,4,0.13,0.4216,78,15.95,Component III,Recession,1,H,500
41CV1085,Feature 1,1,380,70,418,4,0.13,1.43,NA,NA,Component III,Recession,1,H,500
41HY209-M,Feature 2,6,395,89.66666667,425,4,0.13,126,NA,NA,Component III,Recession,2,H,500
41HY209-T,Feature 21,1,380,50,428,4,0.13,0.38465,NA,NA,Component III,Recession,1,H,500
41ED28,Feature 38,1,390,60,432,4,0.13,0.3,75,14.7,Component III,Recession,1,H,500
41BL198,Feature 1,1,390,60,432,4,0.13,144,NA,NA,Component III,Recession,2,H,500
41HM51,Feature 8,2,385,50,433,4,0.13,1.116,425,55.1,Component III,Recession,1,H,500
41KM16,Feature 5,1,396,60,437,4,0.13,1.5386,NA,NA,Component III,Recession,1,H,500
41HM51,Feature 10,2,400,60,441,4,0.13,0.477594,48,43.9,Component III,Recession,1,H,500
41CV1167,Feature 1,1,410,80,441,4,0.13,0.25,NA,NA,Component III,Recession,1,H,500
41HM51,Feature 4,1,390,40,447,4,0.13,0.09,3,0.1,Component III,Recession,1,H,500
41KM16,Feature 3,2,427.9,76,460,4,0.13,1.5386,NA,NA,Component III,Recession,1,H,500
41KM16,Feature 14,2,436,84.5,465,4,0.13,0.94985,NA,NA,Component III,Recession,1,H,500
41KM226,Feature 5,1,420,40,480,4,0.13,0.2304,16,8.4,Component III,Recession,1,H,500
41KM226,Feature 6,2,425,40,484,4,0.13,1.08,119,44.9,Component III,Recession,1,H,500
41BL564,Feature 1,2,445,55,491,4,0.13,132,NA,NA,Component III,Recession,2,H,500
41KM226,Feature 9,1,460,40,509,4,0.13,0.38465,30,3.8,Component III,Recession,1,H,500
41KM226,Feature 4,2,465,40,511,4,0.13,3.4,490,176.9,Component III,Recession,1,H,500
41HM51,Feature 16,2,490,45,523,4,0.13,0.4,47,7.1,Component III,Recession,1,H,500
41MS32,Feature 18,1,500,80,528,4,0.13,1.68,150,NA,Component III,Recession,1,H,500
41CV0174,Feature 4,1,510,50,534,4,0.13,0.98,NA,NA,Component III,Recession,1,H,500
41TV441,Feature 2,1,520,60,542,4,0.13,2.2,NA,NA,Component III,Recession,1,H,500
41MS99,Feature 7,1,540,30,544,4,0.13,0.1292,10,3.1,Component III,Recession,1,H,500
41MS32,Feature 13,1,530,60,549,4,0.13,2.03,160,NA,Component III,Recession,1,H,500
